machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
ernst;4096;1;512;1;life;ocl_finish;1000;;unlabelled;guns;5672159
ernst;4096;1;1024;1;life;ocl_finish;1000;;unlabelled;guns;5895213
ernst;4096;2;1;1;life;ocl_finish;1000;;unlabelled;guns;8361781
ernst;4096;2;2;1;life;ocl_finish;1000;;unlabelled;guns;444781
ernst;4096;2;4;1;life;ocl_finish;1000;;unlabelled;guns;2976689
ernst;4096;2;8;1;life;ocl_finish;1000;;unlabelled;guns;2913491
ernst;4096;2;16;1;life;ocl_finish;1000;;unlabelled;guns;2828430
ernst;4096;2;32;1;life;ocl_finish;1000;;unlabelled;guns;2818080
ernst;4096;2;64;1;life;ocl_finish;1000;;unlabelled;guns;2818608
ernst;4096;2;128;1;life;ocl_finish;1000;;unlabelled;guns;2834408
ernst;4096;2;256;1;life;ocl_finish;1000;;unlabelled;guns;2867384
ernst;4096;2;512;1;life;ocl_finish;1000;;unlabelled;guns;2979209
ernst;4096;4;1;1;life;ocl_finish;1000;;unlabelled;guns;4237941
ernst;4096;4;2;1;life;ocl_finish;1000;;unlabelled;guns;2328479
ernst;4096;4;4;1;life;ocl_finish;1000;;unlabelled;guns;1513347
ernst;4096;4;8;1;life;ocl_finish;1000;;unlabelled;guns;112451
ernst;4096;4;16;1;life;ocl_finish;1000;;unlabelled;guns;112592
ernst;4096;4;32;1;life;ocl_finish;1000;;unlabelled;guns;11618
ernst;4096;4;64;1;life;ocl_finish;1000;;unlabelled;guns;117171
ernst;4096;4;128;1;life;ocl_finish;1000;;unlabelled;guns;113491
ernst;4096;4;256;1;life;ocl_finish;1000;;unlabelled;guns;1545629
ernst;4096;8;1;1;life;ocl_finish;1000;;unlabelled;guns;2205734
ernst;4096;8;2;1;life;ocl_finish;1000;;unlabelled;guns;1224418
ernst;4096;8;4;1;life;ocl_finish;1000;;unlabelled;guns;77521
ernst;4096;8;8;1;life;ocl_finish;1000;;unlabelled;guns;790674
ernst;4096;8;16;1;life;ocl_finish;1000;;unlabelled;guns;786340
ernst;4096;8;32;1;life;ocl_finish;1000;;unlabelled;guns;790021
ernst;4096;8;64;1;life;ocl_finish;1000;;unlabelled;guns;795703
ernst;4096;8;128;1;life;ocl_finish;1000;;unlabelled;guns;798416
ernst;4096;16;1;1;life;ocl_finish;1000;;unlabelled;guns;1177382
ernst;4096;16;2;1;life;ocl_finish;1000;;unlabelled;guns;647434
ernst;4096;16;4;1;life;ocl_finish;1000;;unlabelled;guns;444214
ernst;4096;16;8;1;life;ocl_finish;1000;;unlabelled;guns;453818
ernst;4096;16;16;1;life;ocl_finish;1000;;unlabelled;guns;461467
ernst;4096;16;32;1;life;ocl_finish;1000;;unlabelled;guns;524907
ernst;4096;16;64;1;life;ocl_finish;1000;;unlabelled;guns;670681
ernst;4096;32;1;1;life;ocl_finish;1000;;unlabelled;guns;708380
ernst;4096;32;2;1;life;ocl_finish;1000;;unlabelled;guns;394479
ernst;4096;32;4;1;life;ocl_finish;1000;;unlabelled;guns;392262
ernst;4096;32;8;1;life;ocl_finish;1000;;unlabelled;guns;411985
ernst;4096;32;16;1;life;ocl_finish;1000;;unlabelled;guns;452879
ernst;4096;32;32;1;life;ocl_finish;1000;;unlabelled;guns;553524
ernst;4096;64;1;1;life;ocl_finish;1000;;unlabelled;guns;425395
ernst;4096;64;2;1;life;ocl_finish;1000;;unlabelled;guns;390604
ernst;4096;64;4;1;life;ocl_finish;1000;;unlabelled;guns;407670
ernst;4096;64;8;1;life;ocl_finish;1000;;unlabelled;guns;452936
ernst;4096;64;16;1;life;ocl_finish;1000;;unlabelled;guns;550768
ernst;4096;128;1;1;life;ocl_finish;1000;;unlabelled;guns;413176
ernst;4096;128;2;1;life;ocl_finish;1000;;unlabelled;guns;405174
ernst;4096;128;4;1;life;ocl_finish;1000;;unlabelled;guns;451175
ernst;4096;128;8;1;life;ocl_finish;1000;;unlabelled;guns;555527
ernst;4096;256;1;1;life;ocl_finish;1000;;unlabelled;guns;427212
ernst;4096;256;2;1;life;ocl_finish;1000;;unlabelled;guns;449055
ernst;4096;256;4;1;life;ocl_finish;1000;;unlabelled;guns;556697
ernst;4096;512;1;1;life;ocl_finish;1000;;unlabelled;guns;477169
ernst;4096;512;2;1;life;ocl_finish;1000;;unlabelled;guns;563627
ernst;4096;1024;1;1;life;ocl_finish;1000;;unlabelled;guns;611663
ernst;4096;1;1;1;life;ocl_finish;1000;;unlabelled;guns;16532432
ernst;4096;1;2;1;life;ocl_finish;1000;;unlabelled;guns;8680766
ernst;4096;1;4;1;life;ocl_finish;1000;;unlabelled;guns;5814993
ernst;4096;1;8;1;life;ocl_finish;1000;;unlabelled;guns;5700662
ernst;4096;1;16;1;life;ocl_finish;1000;;unlabelled;guns;5524475
ernst;4096;1;32;1;life;ocl_finish;1000;;unlabelled;guns;5456092
ernst;4096;1;64;1;life;ocl_finish;1000;;unlabelled;guns;5437402
ernst;4096;1;128;1;life;ocl_finish;1000;;unlabelled;guns;5479211
ernst;4096;1;256;1;life;ocl_finish;1000;;unlabelled;guns;5479083
ernst;4096;1;512;1;life;ocl_finish;1000;;unlabelled;guns;5672159
ernst;4096;1;1024;1;life;ocl_finish;1000;;unlabelled;guns;5895213
ernst;4096;2;1;1;life;ocl_finish;1000;;unlabelled;guns;8361781
ernst;4096;2;2;1;life;ocl_finish;1000;;unlabelled;guns;444781
ernst;4096;2;4;1;life;ocl_finish;1000;;unlabelled;guns;2976689
ernst;4096;2;8;1;life;ocl_finish;1000;;unlabelled;guns;2913491
ernst;4096;2;16;1;life;ocl_finish;1000;;unlabelled;guns;2828430
ernst;4096;2;32;1;life;ocl_finish;1000;;unlabelled;guns;2818080
ernst;4096;2;64;1;life;ocl_finish;1000;;unlabelled;guns;2818608
ernst;4096;2;128;1;life;ocl_finish;1000;;unlabelled;guns;2834408
ernst;4096;2;256;1;life;ocl_finish;1000;;unlabelled;guns;2867384
ernst;4096;2;512;1;life;ocl_finish;1000;;unlabelled;guns;2979209
ernst;4096;4;1;1;life;ocl_finish;1000;;unlabelled;guns;4237941
ernst;4096;4;2;1;life;ocl_finish;1000;;unlabelled;guns;2328479
ernst;4096;4;4;1;life;ocl_finish;1000;;unlabelled;guns;1513347
ernst;4096;4;8;1;life;ocl_finish;1000;;unlabelled;guns;112451
ernst;4096;4;16;1;life;ocl_finish;1000;;unlabelled;guns;112592
ernst;4096;4;32;1;life;ocl_finish;1000;;unlabelled;guns;11618
ernst;4096;4;64;1;life;ocl_finish;1000;;unlabelled;guns;117171
ernst;4096;4;128;1;life;ocl_finish;1000;;unlabelled;guns;113491
ernst;4096;4;256;1;life;ocl_finish;1000;;unlabelled;guns;1545629
ernst;4096;8;1;1;life;ocl_finish;1000;;unlabelled;guns;2205734
ernst;4096;8;2;1;life;ocl_finish;1000;;unlabelled;guns;1224418
ernst;4096;8;4;1;life;ocl_finish;1000;;unlabelled;guns;77521
ernst;4096;8;8;1;life;ocl_finish;1000;;unlabelled;guns;790674
ernst;4096;8;16;1;life;ocl_finish;1000;;unlabelled;guns;786340
ernst;4096;8;32;1;life;ocl_finish;1000;;unlabelled;guns;790021
ernst;4096;8;64;1;life;ocl_finish;1000;;unlabelled;guns;795703
ernst;4096;8;128;1;life;ocl_finish;1000;;unlabelled;guns;798416
ernst;4096;16;1;1;life;ocl_finish;1000;;unlabelled;guns;1177382
ernst;4096;16;2;1;life;ocl_finish;1000;;unlabelled;guns;647434
ernst;4096;16;4;1;life;ocl_finish;1000;;unlabelled;guns;444214
ernst;4096;16;8;1;life;ocl_finish;1000;;unlabelled;guns;453818
ernst;4096;16;16;1;life;ocl_finish;1000;;unlabelled;guns;461467
ernst;4096;16;32;1;life;ocl_finish;1000;;unlabelled;guns;524907
ernst;4096;16;64;1;life;ocl_finish;1000;;unlabelled;guns;670681
ernst;4096;32;1;1;life;ocl_finish;1000;;unlabelled;guns;708380
ernst;4096;32;2;1;life;ocl_finish;1000;;unlabelled;guns;394479
ernst;4096;32;4;1;life;ocl_finish;1000;;unlabelled;guns;392262
ernst;4096;32;8;1;life;ocl_finish;1000;;unlabelled;guns;411985
ernst;4096;32;16;1;life;ocl_finish;1000;;unlabelled;guns;452879
ernst;4096;32;32;1;life;ocl_finish;1000;;unlabelled;guns;553524
ernst;4096;64;1;1;life;ocl_finish;1000;;unlabelled;guns;425395
ernst;4096;64;2;1;life;ocl_finish;1000;;unlabelled;guns;390604
ernst;4096;64;4;1;life;ocl_finish;1000;;unlabelled;guns;407670
ernst;4096;64;8;1;life;ocl_finish;1000;;unlabelled;guns;452936
ernst;4096;64;16;1;life;ocl_finish;1000;;unlabelled;guns;550768
ernst;4096;128;1;1;life;ocl_finish;1000;;unlabelled;guns;413176
ernst;4096;128;2;1;life;ocl_finish;1000;;unlabelled;guns;405174
ernst;4096;128;4;1;life;ocl_finish;1000;;unlabelled;guns;451175
ernst;4096;128;8;1;life;ocl_finish;1000;;unlabelled;guns;555527
ernst;4096;256;1;1;life;ocl_finish;1000;;unlabelled;guns;427212
ernst;4096;256;2;1;life;ocl_finish;1000;;unlabelled;guns;449055
ernst;4096;256;4;1;life;ocl_finish;1000;;unlabelled;guns;556697
ernst;4096;512;1;1;life;ocl_finish;1000;;unlabelled;guns;477169
ernst;4096;512;2;1;life;ocl_finish;1000;;unlabelled;guns;563627
ernst;4096;1024;1;1;life;ocl_finish;1000;;unlabelled;guns;611663
