machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
ernst;4096;16;16;28;life;ocl_hybrid;100;;unlabelled;sparse;1323194
ernst;4096;16;16;29;life;ocl_hybrid;100;;unlabelled;sparse;1361121
ernst;4096;16;16;30;life;ocl_hybrid;100;;unlabelled;sparse;1340665
ernst;4096;16;16;31;life;ocl_hybrid;100;;unlabelled;sparse;1377004
ernst;4096;16;16;32;life;ocl_hybrid;100;;unlabelled;sparse;1380333
ernst;4096;16;16;33;life;ocl_hybrid;100;;unlabelled;sparse;1358954
ernst;4096;16;16;34;life;ocl_hybrid;100;;unlabelled;sparse;1388898
ernst;4096;16;16;35;life;ocl_hybrid;100;;unlabelled;sparse;1374103
ernst;4096;16;16;36;life;ocl_hybrid;100;;unlabelled;sparse;1380596
ernst;4096;16;16;37;life;ocl_hybrid;100;;unlabelled;sparse;1412277
ernst;4096;16;16;38;life;ocl_hybrid;100;;unlabelled;sparse;1363619
ernst;4096;16;16;39;life;ocl_hybrid;100;;unlabelled;sparse;1368698
ernst;4096;16;16;40;life;ocl_hybrid;100;;unlabelled;sparse;1386341
ernst;4096;16;16;41;life;ocl_hybrid;100;;unlabelled;sparse;1395867
ernst;4096;16;16;42;life;ocl_hybrid;100;;unlabelled;sparse;1395605
ernst;4096;16;16;43;life;ocl_hybrid;100;;unlabelled;sparse;1405289
ernst;4096;16;16;44;life;ocl_hybrid;100;;unlabelled;sparse;1386039
ernst;4096;16;16;45;life;ocl_hybrid;100;;unlabelled;sparse;1373677
ernst;4096;16;16;46;life;ocl_hybrid;100;;unlabelled;sparse;1358756
ernst;4096;16;16;1;life;ocl_hybrid;100;;unlabelled;sparse;1536570
ernst;4096;16;16;2;life;ocl_hybrid;100;;unlabelled;sparse;1479644
ernst;4096;16;16;3;life;ocl_hybrid;100;;unlabelled;sparse;1463358
ernst;4096;16;16;4;life;ocl_hybrid;100;;unlabelled;sparse;1466460
ernst;4096;16;16;5;life;ocl_hybrid;100;;unlabelled;sparse;1456150
ernst;4096;16;16;6;life;ocl_hybrid;100;;unlabelled;sparse;1452252
ernst;4096;16;16;7;life;ocl_hybrid;100;;unlabelled;sparse;1453253
ernst;4096;16;16;8;life;ocl_hybrid;100;;unlabelled;sparse;1457785
ernst;4096;16;16;9;life;ocl_hybrid;100;;unlabelled;sparse;1445458
ernst;4096;16;16;10;life;ocl_hybrid;100;;unlabelled;sparse;1452975
ernst;4096;16;16;11;life;ocl_hybrid;100;;unlabelled;sparse;1453224
ernst;4096;16;16;12;life;ocl_hybrid;100;;unlabelled;sparse;1452054
ernst;4096;16;16;13;life;ocl_hybrid;100;;unlabelled;sparse;1401628
ernst;4096;16;16;14;life;ocl_hybrid;100;;unlabelled;sparse;1384885
ernst;4096;16;16;15;life;ocl_hybrid;100;;unlabelled;sparse;1368509
ernst;4096;16;16;16;life;ocl_hybrid;100;;unlabelled;sparse;1363572
ernst;4096;16;16;17;life;ocl_hybrid;100;;unlabelled;sparse;1345171
ernst;4096;16;16;18;life;ocl_hybrid;100;;unlabelled;sparse;1341786
ernst;4096;16;16;19;life;ocl_hybrid;100;;unlabelled;sparse;1331724
ernst;4096;16;16;20;life;ocl_hybrid;100;;unlabelled;sparse;1319729
ernst;4096;16;16;21;life;ocl_hybrid;100;;unlabelled;sparse;1311510
ernst;4096;16;16;22;life;ocl_hybrid;100;;unlabelled;sparse;1314636
ernst;4096;16;16;23;life;ocl_hybrid;100;;unlabelled;sparse;1302268
ernst;4096;16;16;24;life;ocl_hybrid;100;;unlabelled;sparse;1297684
ernst;4096;16;16;25;life;ocl_hybrid;100;;unlabelled;sparse;1297200
ernst;4096;16;16;26;life;ocl_hybrid;100;;unlabelled;sparse;1305592
ernst;4096;16;16;27;life;ocl_hybrid;100;;unlabelled;sparse;1311641
ernst;4096;16;16;28;life;ocl_hybrid;100;;unlabelled;sparse;1354684
ernst;4096;16;16;29;life;ocl_hybrid;100;;unlabelled;sparse;1334034
